,fold0,fold0,fold1,fold1,fold2,fold2,fold3,fold3,total,total
,mean,sd,mean,sd,mean,sd,mean,sd,mean,sd
GCN,0.9593076923076923,0.02469816597051479,0.9582307692307692,0.012236341353854492,0.9170769230769231,0.020790084209987476,0.9443076923076923,0.019500670094186195,0.9447307692307693,0.02609102901988908
GCNWithJK,0.9603076923076923,0.019272526537083483,0.9613076923076923,0.010682020060226944,0.919923076923077,0.018134074545283266,0.9462307692307692,0.020085734594631213,0.9469423076923077,0.02411949134668344
GraphSAGE,0.9646923076923077,0.0202516886887558,0.9603846153846154,0.01067754286819909,0.9234615384615384,0.016008148961822854,0.9443846153846154,0.020769230769230772,0.9482307692307692,0.023729104447665357
GraphSAGEWithJK,0.9627692307692308,0.020851516182124972,0.965,0.00856544243667743,0.9196923076923077,0.013886671271168086,0.9461538461538461,0.018554544281708534,0.9484038461538462,0.024248205831615854
GATNet,0.9465384615384616,0.02350992373988005,0.9613846153846154,0.013742163235295668,0.9203846153846154,0.017265553468130558,0.9424615384615385,0.021825153788136285,0.9426923076923077,0.02433435586905241
NMP,0.959,0.025943553297174664,0.944923076923077,0.019179262803618806,0.9088461538461539,0.02534502811327614,0.9354615384615385,0.022108534123613292,0.9370576923076923,0.029584071037031767
GIN,0.8725384615384616,0.052630920065459844,0.8656153846153847,0.04432338872017471,0.8498461538461538,0.04403963635475208,0.8607692307692307,0.052758467191332786,0.8621923076923077,0.04914343938834249
GraphNN,0.964076923076923,0.018362040868510572,0.9513846153846154,0.0157258200591316,0.926,0.01689479872315034,0.9442307692307692,0.02095602209942968,0.9464230769230769,0.02268973429448672

